mpu_address,yaw,pitch,roll,x_accel,y_accel,z_accel
105,86.33,30.55,87.83,0.06,0.96,0.08
105,83.3,20.7,87.46,0.07,0.91,0.12
105,87.24,73.55,80.74,0.19,1.05,0.08
105,86.63,61.37,83.84,0.14,1.06,0.09
105,86.62,66.81,82.16,0.17,1.07,0.08
105,80.86,18.99,86.83,0.08,1.01,0.19
105,81.03,60.56,74.38,0.31,1.09,0.2
105,80.37,67.32,67.9,0.46,1.09,0.21
105,81.72,68.03,70.16,0.37,0.87,0.09
105,82.25,81.13,48.9,0.48,0.57,0.14
105,69.66,78.72,28.29,0.69,0.38,0.16
105,53.37,75.94,18.61,0.79,0.28,0.21
105,56.09,77.74,17.92,0.71,0.25,0.17
105,70.93,70.83,45.17,0.6,0.6,0.23
104,67.49,347.5,95.25,0.16,0.91,0.35
105,77.35,67.27,61.82,0.43,0.76,0.2
104,73.39,17.83,84.52,0.11,0.93,0.3
105,87.79,84.26,68.96,0.39,0.98,0.06
104,70.22,10.0,86.37,0.07,0.83,0.31
105,58.21,32.16,68.71,0.45,1.17,0.91
104,82.32,359.2,90.11,0.02,0.98,0.14
104,81.01,14.32,87.69,0.06,0.96,0.17
104,82.92,33.06,85.38,0.1,0.95,0.15
104,82.6,37.48,84.32,0.12,0.97,0.13
104,80.62,31.15,84.3,0.12,0.89,0.16
104,82.23,29.81,85.53,0.1,0.98,0.15
104,75.77,4.41,88.88,0.05,0.93,0.25
104,84.16,32.66,86.25,0.04,0.91,0.07
104,82.63,53.68,80.02,0.16,0.85,0.12
104,82.56,53.11,80.13,0.2,0.89,0.32
104,91.07,96.79,81.1,0.17,0.93,0.01
104,87.52,82.21,72.47,0.37,1.14,0.06
104,84.69,64.99,78.74,0.22,0.95,0.12
104,65.71,15.81,82.72,0.13,0.79,0.38
104,78.07,34.47,81.75,0.14,0.89,0.18
104,73.68,15.17,85.46,0.1,1.03,0.32
104,54.92,10.66,82.47,0.18,0.8,0.59
104,73.23,35.01,78.08,0.24,0.91,0.29
104,70.45,43.56,71.34,0.31,0.86,0.33
104,39.22,11.87,75.56,0.2,0.72,0.82
104,67.39,39.16,71.26,0.25,0.67,0.42
104,73.7,38.25,77.02,0.17,0.63,0.19
104,73.25,14.61,85.51,0.11,0.96,0.29
104,71.35,9.86,86.64,0.08,0.99,0.33
104,70.29,15.49,84.33,0.13,1.11,0.41
104,68.76,16.83,83.29,0.14,1.1,0.42
104,68.63,26.01,79.19,0.17,0.79,0.32
104,61.68,34.76,69.5,0.3,0.73,0.42
104,61.42,46.77,59.91,0.43,0.72,0.4
104,68.79,51.35,64.11,0.4,0.79,0.33
104,74.16,57.91,65.66,0.37,0.78,0.25
104,69.54,53.43,63.3,0.36,0.72,0.26
104,71.75,56.72,63.33,0.39,0.75,0.28
104,67.89,49.97,64.19,0.43,0.87,0.37
104,69.59,51.06,65.28,0.42,0.89,0.35
104,71.45,55.56,63.93,0.44,0.87,0.32
104,71.57,55.82,63.86,0.44,0.85,0.3
105,355.22,12.91,339.95,0.2,0.01,0.83
104,67.97,54.97,60.01,0.47,0.81,0.34
104,66.16,50.53,61.78,0.48,0.86,0.41
105,19.33,0.03,89.92,0.01,0.29,0.84
104,69.72,53.62,63.37,0.45,0.86,0.32
105,17.36,355.0,105.62,0.01,0.43,0.97
104,71.67,56.33,63.55,0.47,0.94,0.32
104,73.68,57.2,65.56,0.42,0.89,0.28
104,74.24,58.11,65.6,0.35,0.78,0.23
104,77.43,63.33,66.06,0.35,0.78,0.17
104,81.96,69.85,68.95,0.32,0.82,0.13
104,79.6,66.07,67.53,0.36,0.85,0.16
104,79.05,65.73,66.77,0.37,0.85,0.19
104,75.83,60.51,65.95,0.4,0.89,0.24
104,71.06,52.62,65.81,0.4,0.88,0.3
104,57.83,23.19,74.91,0.27,0.91,0.58
104,57.48,22.3,75.35,0.26,0.95,0.61
104,61.42,13.68,82.45,0.13,0.85,0.46
104,62.64,7.51,86.1,0.08,0.82,0.43
105,66.15,357.72,91.01,0.0,0.87,0.37
104,62.54,3.88,87.98,0.05,0.81,0.44
105,85.67,50.34,84.78,0.11,1.0,0.09
104,65.93,9.04,85.94,0.08,0.84,0.39
104,68.06,5.45,87.8,0.06,0.93,0.39
104,70.6,4.2,88.52,0.04,0.92,0.33
104,70.2,11.49,85.82,0.09,0.88,0.33
105,82.76,76.35,62.38,0.47,1.02,0.06
104,65.22,15.63,82.64,0.13,0.86,0.41
105,81.75,78.27,55.09,0.37,0.76,0.11
104,66.27,9.1,85.97,0.08,0.91,0.4
105,78.03,72.86,55.5,0.35,0.54,0.12
104,68.22,2.12,89.15,0.04,0.91,0.37
105,51.72,42.64,53.99,0.16,0.17,0.2
104,69.25,4.97,88.11,0.05,0.93,0.36
105,62.65,15.99,81.57,0.15,0.87,0.48
104,67.74,12.01,85.02,0.09,0.84,0.35
105,65.59,20.57,80.33,0.18,1.02,0.47
104,65.13,11.63,84.55,0.11,0.83,0.38
105,64.24,357.81,91.06,0.03,0.95,0.44
104,65.35,7.34,86.61,0.07,0.85,0.42
105,65.86,7.08,86.82,0.07,1.06,0.49
104,67.24,358.2,90.75,0.01,0.82,0.36
105,68.71,22.28,80.93,0.18,1.09,0.42
104,65.16,359.72,90.13,0.01,0.81,0.39
105,66.08,25.5,78.05,0.21,0.93,0.42
104,66.96,0.35,89.85,0.03,0.92,0.4
105,73.55,42.65,74.79,0.26,0.86,0.28
104,66.35,1.08,89.53,0.03,0.96,0.44
105,81.66,71.97,65.76,0.35,0.79,0.14
104,66.7,358.67,90.57,0.01,0.96,0.42
105,83.66,77.85,62.69,0.38,0.7,0.1
104,67.42,5.16,87.85,0.05,0.89,0.37
105,82.13,75.06,62.62,0.3,0.58,0.1
104,70.99,13.7,85.2,0.09,0.92,0.34
105,80.56,63.24,71.75,0.27,0.76,0.12
104,70.66,23.56,81.3,0.14,0.8,0.27
105,75.18,49.15,72.99,0.32,0.93,0.24
104,70.06,23.17,81.17,0.17,0.99,0.38
105,68.19,30.45,76.76,0.34,1.19,0.52
104,73.54,18.4,84.39,0.1,0.95,0.3
105,73.66,43.07,74.67,0.31,1.03,0.31
104,74.19,9.51,87.28,0.07,0.99,0.31
105,72.94,52.89,67.92,0.4,0.95,0.3
104,75.44,20.53,84.44,0.12,1.01,0.26
105,79.6,69.73,63.57,0.48,0.93,0.19
104,68.25,17.36,82.89,0.14,0.94,0.35
105,79.0,70.37,61.42,0.46,0.9,0.21
