mpu_address,yaw,pitch,roll,x_accel,y_accel,z_accel
105,85.72,49.33,85.02,0.07,0.91,0.18
105,69.61,11.16,85.81,0.16,0.86,0.09
104,113.06,154.95,78.75,0.59,1.15,0.3
105,32.77,350.53,104.53,0.19,0.25,0.77
104,80.06,52.69,77.05,0.42,1.53,0.36
105,65.67,57.23,54.91,0.23,0.81,0.17
104,79.38,16.89,86.74,0.07,0.89,0.16
105,50.52,10.08,81.67,0.13,0.65,0.56
104,82.64,35.92,84.66,0.09,0.89,0.15
105,54.23,15.09,79.01,0.15,0.7,0.51
104,76.81,2.23,89.48,0.04,0.95,0.23
105,61.4,13.0,82.83,0.11,0.85,0.48
104,86.03,45.97,85.9,0.06,1.02,0.12
105,60.49,8.54,85.14,0.09,0.85,0.5
104,85.54,49.51,84.78,0.12,1.05,0.08
105,59.69,22.55,76.36,0.17,0.66,0.4
104,78.02,20.72,85.41,0.07,0.91,0.25
105,51.35,10.59,81.49,0.12,0.79,0.64
105,64.75,18.12,81.23,0.13,0.72,0.35
104,78.62,25.46,84.53,0.1,0.84,0.19
105,53.48,14.51,79.16,0.15,0.64,0.51
104,67.83,0.82,89.67,0.05,0.87,0.39
105,51.42,5.24,85.81,0.1,0.71,0.58
104,68.97,357.06,91.13,0.01,0.76,0.31
105,39.65,3.94,85.25,0.08,0.44,0.57
104,196.55,212.69,204.85,0.12,0.39,2.0
105,88.49,62.87,87.05,0.04,0.92,0.05
105,90.21,95.96,87.96,0.05,0.96,0.03
105,84.69,352.97,90.66,0.0,0.96,0.12
104,89.77,22.52,89.91,0.02,0.98,0.02
